nct,http_status,n_armgroups,sha256,from_cache
NCT01196390,200,2,088918565dc5677e,False
NCT01208662,200,2,b6ae5f18ff8c618c,False
NCT01212991,200,2,8c8bdec3825c39fb,False
NCT01227889,200,3,b21f1a4906a1d4a0,False
NCT01231412,200,3,3219c3dc6ccae01c,False
NCT01231906,200,2,0f310fc4f70a381d,False
NCT01235962,200,2,7735620ca19c02d2,False
NCT01238172,200,2,41e813210ca2934a,False
NCT01239797,200,2,cb74bca8806d3a9e,False
NCT01243944,200,2,b2e54c66ac9b414e,False
NCT01244191,200,2,4371c61ea52ec6b2,False
NCT01245062,200,3,7cdaaa18805a2181,False
NCT01254630,200,4,e4f133af412d4d10,False
NCT01271712,200,2,e7c35bad110b07cc,False
NCT01272037,200,2,6190da2453f84dce,False
NCT01275677,200,2,46e12fda3d15d27d,False
NCT01285609,200,2,b00a3a4a43b1d5b9,False
NCT01287741,200,2,fec78f83f5615f78,False
NCT01302834,200,2,dd503b63989d5bad,False
NCT01307579,200,2,62f590818fe5c9f6,False
NCT01308567,200,3,2c803c9aaed3e90a,False
NCT01308580,200,2,5c5b7509cd8ba616,False
NCT01321554,200,4,8823afd83fc9b360,False
NCT01322490,200,3,f0244c1d481a45da,False
NCT01332968,200,2,ac2cb97a310fc58c,False
NCT01339910,200,2,b8e9eeb6b52bcb12,False
NCT01343277,200,2,b27df6715c2218c6,False
NCT01345669,200,2,377af204f37cd3b9,False
NCT01351415,200,2,c6417de86e86f1d2,False
NCT01358877,200,2,f86039099d9aa942,False
NCT01385137,200,2,3ade4549bf7d2e22,False
NCT01414608,200,2,6f128c6b9d43e8ae,False
NCT01435018,200,3,d8eb6d9f86fb168b,False
NCT01438476,200,2,60d015ee712af803,False
NCT01450761,200,2,1e25e6c4da7adccd,False
NCT01459497,200,2,5ed81f4272333f55,False
NCT01461928,200,2,d04cf125f135b02d,False
NCT01482962,200,2,52b811291d9baf5c,False
NCT01509612,200,3,491cffa7abe0941b,False
NCT01512745,200,2,bf6b3bf3ab8be3ea,False
NCT01515748,200,2,7eb8634db08ed240,False
NCT01519700,200,2,88071b98c37dcf98,False
NCT01524783,200,2,95c36e2e66365cfb,False
NCT01535053,200,2,231c2da12836ad12,False
NCT01539083,200,3,0a98d3cd4cca962c,False
NCT01539291,200,2,63e4b3c98c8553f7,False
NCT01539512,200,2,307c72e76bd3201b,False
NCT01544179,200,2,04393dae3d36ea83,False
NCT01564537,200,2,f079b380d6734733,False
NCT01566695,200,2,814b0ab00d19341a,False
NCT01569295,200,2,8cc9928717ad602f,False
NCT01573442,200,2,ad4bb951c057a108,False
NCT01575548,200,2,438bfb120757e6f3,False
NCT01578239,200,2,86a240454ba52fe9,False
NCT01578499,200,2,813dc90c2bee783f,False
NCT01578707,200,2,aa21b4a8bced7cba,False
NCT01596283,200,2,4d3b83353600167e,False
NCT01597908,200,2,26b9bcf37a6d05f4,False
NCT01598298,200,2,5383da8033dbdbc1,False
NCT01599754,200,2,a2d54db82263fc14,False
NCT01602380,200,2,6fa44184cfa11c78,False
NCT01607957,200,2,de7449997a256577,False
NCT01611090,200,2,23836b83219fa351,False
NCT01642004,200,2,cb99711e059c4942,False
NCT01646021,200,2,56e0133deb3e995b,False
NCT01649856,200,2,a56d8551db930b06,False
NCT01659021,200,2,41d08f4f49502692,False
NCT01667419,200,4,fb948eb5169999ba,False
NCT01668784,200,2,f75f139d53802a4e,False
NCT01672892,200,2,2cf7c98cdba7ebca,False
NCT01673867,200,2,f6c64ebc9008488c,False
NCT01674140,200,2,e08f255669ac393f,False
NCT01677910,200,4,b8e2c47cd3c4b0ee,False
NCT01682083,200,2,242fa7bd19bec779,False
NCT01689519,200,2,61904d0fa168813a,False
NCT01696084,200,2,b12a5671aeedddab,False
NCT01706939,200,2,1d20dbc4954eb1c4,False
NCT01712490,200,2,10a704fef92df3bf,False
NCT01715285,200,2,b0e9565dba39bac9,False
NCT01718873,200,2,8e79f15caf143fa8,False
NCT01721772,200,2,3e55bb4527e6d802,False
NCT01722487,200,2,d5dc9992bbea44ef,False
NCT01728805,200,2,75918ad2f48be5e9,False
NCT01734928,200,2,304251b738181366,False
NCT01740427,200,2,21fe11b283c72d18,False
NCT01755767,200,4,8103e7523a4796e2,False
NCT01757535,200,2,f47556fa11387577,False
NCT01772472,200,2,fc87e35386c395f4,False
NCT01776840,200,2,39a83cd338b9d240,False
NCT01777152,200,2,68db93e971830485,False
NCT01781468,200,3,151fe848d6854f64,False
NCT01802333,200,3,624e150eb13970b2,False
NCT01806259,200,2,908c2324cc0b6a15,False
NCT01808573,200,2,dfdd0b8736ba44b9,False
NCT01809691,200,2,b3c6c7336eb3d021,False
NCT01818752,200,2,a520f86f4c966edd,False
NCT01828099,200,2,96c967877cd6f444,False
NCT01843062,200,2,8e435d5e162f0b18,False
NCT01844505,200,3,f22cce397828545f,False
NCT01844986,200,2,86a9ed610459047e,False
NCT01846611,200,2,fb0d6668a6def737,False
NCT01847274,200,2,4fc58d9b8efabb15,False
NCT01849874,200,2,65c6b69b6b6554df,False
NCT01855750,200,2,86f2fe05466167ef,False
NCT01856543,200,2,7093a78e12d0b9e7,False
NCT01864746,200,2,487f8476023ca7e8,False
NCT01865747,200,2,dfca4a37dcce2875,False
NCT01866319,200,3,0710e2e05412126a,False
NCT01874353,200,2,f22c64ddeacb83bd,False
NCT01886872,200,3,32771949dd7e8e56,False
NCT01905657,200,3,d5bffcc19a9f8332,False
NCT01908426,200,2,27d29aab72630a67,False
NCT01909453,200,4,1d3286750f0b6a71,False
NCT01924533,200,2,623b659910abd967,False
NCT01933932,200,2,1c4a08572b0e6718,False
NCT01938001,200,2,295173d774043ad7,False
NCT01942135,200,2,244e82554a6d265a,False
NCT01945775,200,2,97087b40d2edc06f,False
NCT01946204,200,2,87bac97bc5122be9,False
NCT01949337,200,2,26647ac5ad4e4810,False
NCT01958021,200,2,f3704a2ed53a8bce,False
NCT01964430,200,2,678f72442eb5e195,False
NCT01966471,200,2,bed18650ecc81bff,False
NCT01968213,200,2,1c3e39482979d10d,False
NCT01974440,200,2,d9e5b3497a6cd667,False
NCT01974752,200,2,7562bd5da1901d7e,False
NCT01989572,200,6,c925c6069276c4e7,False
NCT01998880,200,3,2fd2a4456f3598b9,False
NCT02000622,200,2,3bf959e31e965cb3,False
NCT02003924,200,2,aaa70c347875e843,False
NCT02004522,200,2,7a2abc207355ff4d,False
NCT02005471,200,4,77a42dea997e3390,False
NCT02008227,200,2,070d22ef42ce27b2,False
NCT02013167,200,2,56c8ea62046fcb94,False
NCT02017717,200,3,b94ba82ca331ac54,False
NCT02039726,200,2,94a2bd1916a52e39,False
NCT02041533,200,2,4f65e07118fcff1c,False
NCT02043678,200,2,db6c50d8331e362b,False
NCT02048813,200,2,7b3dc4518a24f40f,False
NCT02055781,200,3,eac68c1b136e7889,False
NCT02066181,200,2,b1f996145b362ff6,False
NCT02073682,200,2,9f49ccc3bae91a4f,False
NCT02075840,200,2,4c613dc40fcf39ab,False
NCT02076009,200,2,2ab420f9602aedcf,False
NCT02101021,200,2,eab7eb5bd2af8f4e,False
NCT02101853,200,4,ad7aed5ffca0fb79,False
NCT02105636,200,2,bd863cd0f5eefa42,False
NCT02106494,200,2,d5785dc51a8f1285,False
NCT02107703,200,2,4c22801863ee44f7,False
NCT02111577,200,2,4b973943a03c3605,False
NCT02112916,200,2,cb025a3d5b7bc4ca,False
NCT02115282,200,2,e0eaad624d16506c,False
NCT02125461,200,2,bc4135e9f60970c8,False
NCT02130557,200,2,9c884fbeb967e339,False
NCT02135419,200,2,ee7a7e114f64d477,False
NCT02136134,200,2,bb490b4857349595,False
NCT02142738,200,6,a13a94e6efae5303,False
NCT02149108,200,2,150cc1df2ad90e6f,False
NCT02149524,200,2,808945b32bc9cce3,False
NCT02151981,200,2,f28896b3368c7a79,False
NCT02152631,200,2,eec9799c0cf03ea3,False
NCT02163694,200,2,7d0e55d1c0ec91ab,False
NCT02165397,200,3,8865cbc1f4815a77,False
NCT02166463,200,2,25fc5c49056aa6e3,False
NCT02181413,200,2,b63fedd518daa580,False
NCT02184195,200,2,3e52cd20ed79448d,False
NCT02200614,200,2,56aa98015be5ebe9,False
NCT02213263,200,2,2a65b84c249c8c4c,False
NCT02220894,200,2,f88b42b805db4c37,False
NCT02229539,200,3,bd92a6cc93a444a9,False
NCT02231086,200,2,fca163eb4119ccdd,False
NCT02231749,200,2,513eb2ad6f2c7db8,False
NCT02242942,200,3,a1c13504338c3210,False
NCT02246621,200,2,8f9d16daa0914063,False
NCT02252042,200,2,5f47f96d4b5baaf2,False
NCT02252172,200,2,2885ca6f1e8a2045,False
NCT02256436,200,2,b814ba2cf13732d2,False
NCT02257736,200,2,f1308c95883b49c2,False
NCT02260804,200,2,e87aa42703e37b2f,False
NCT02264574,200,2,af7dfadb3ad44edf,False
NCT02264990,200,2,ace0cd17ce623b22,False
