filename,intervention_screening,intervention_1_month,intervention_3_months,intervention_6_months,intervention_9_months,intervention_12_months,intervention_intensity,intervention_cycle_length,control_screening,control_1_month,control_3_months,control_6_months,control_9_months,control_12_months,control_intensity,control_cycle_length,delta_screening,delta_1_month,delta_3_months,delta_6_months,delta_9_months,delta_12_months,delta_intensity,pmid,publication_year,Funder,Industry,Disease Site,Disease Stage,Treatment Type,Condition,intervention,Publication Year,NCT Number,Design,Enrollment,Start Date,Enrollment Year,sponsor_binary,disease_site,treatment_modality,start_year
PMID 28632865 a_Summary_SoE.pdf,2.0,5.0,13.0,26.0,39.0,53.0,4.416666666666667,56.0,2.0,3.0,7.0,13.0,20.0,27.0,2.25,56.0,0.0,2.0,6.0,13.0,19.0,26.0,2.166666666666667,28632865,2017.0,OTHER,No,GI,Metastatic,Systemic Therapy,Colorectal Cancer,BIOLOGICAL: bevacizumab|BIOLOGICAL: cetuximab|DRUG: FOLFOX or|DRUG: FOLFIRI,2017,NCT00265850,Superiority,2334,2005-11,2005,Non-Industry,GI,Targeted Therapy,2005
PMID 28636851 a_Summary_SoE.pdf,2.0,3.0,7.0,13.0,20.0,27.0,2.25,14.0,2.0,4.0,9.0,15.0,18.0,21.0,1.75,21.0,0.0,-1.0,-2.0,-2.0,2.0,6.0,0.5,28636851,2017.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Stage IV or Recurrent Non-Small Cell Lung Cancer,BIOLOGICAL: Nivolumab|DRUG: Gemcitabine|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Paclitaxel|DRUG: Pemetrexed,2017,NCT02041533,Superiority,541,3/27/2014,2014,Industry,Thor,Immunotherapy,2014
PMID 28644114 a_Summary_SoE.pdf,2.0,13.0,30.0,48.0,56.0,66.0,5.5,28.0,2.0,13.0,30.0,48.0,56.0,66.0,5.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28644114,2017.0,OTHER,No,Heme,Hematologic,Systemic Therapy,Leukemia,DRUG: cytarabine|DRUG: daunorubicin|DRUG: midostaurin|OTHER: placebo|DRUG: dexamethasone acetate,2017,NCT00651261,Superiority,717,2008-04,2008,Non-Industry,Heme,Targeted Therapy,2008
PMID 28687830 a_Summary_SoE.pdf,3.0,22.0,29.0,30.0,31.0,32.0,2.6666666666666665,7.0,3.0,22.0,29.0,30.0,31.0,32.0,2.6666666666666665,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28687830,2017.0,NETWORK,No,GI,Non-metastatic,Systemic Therapy,Esophageal Cancer,DRUG: cetuximab|DRUG: cisplatin|DRUG: paclitaxel|RADIATION: radiation therapy,2017,NCT00655876,Superiority,344,2008-06,2008,Non-Industry,GI,Targeted Therapy,2008
PMID 28746153 CT_Summary_SoE.pdf,1.0,8.0,8.0,8.0,8.0,8.0,0.6666666666666666,0.0,1.0,8.0,8.0,8.0,8.0,8.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28746153,2017.0,OTHER,No,GI,NS,Supportive Care,Liver Cancer|Pancreatic Cancer,PROCEDURE: Intravenous Patient-Controlled Analgesia (IVPCA)|PROCEDURE: Thoracic Epidural Analgesia (TEA)|BEHAVIORAL: Questionnaires|BEHAVIORAL: Pain Assessment,2017,NCT01438476,Superiority,178,1/26/2012,2012,Non-Industry,GI,Procedure,2012
PMID 28753384 a_Summary_SoE.pdf,2.0,5.0,11.0,15.0,19.0,24.0,2.0,21.0,2.0,5.0,11.0,15.0,19.0,24.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28753384,2017.0,INDUSTRY,Yes,GU,Metastatic,Systemic Therapy,Prostate Cancer,DRUG: Cabazitaxel (XRP6258)|DRUG: Docetaxel (XRP6976)|DRUG: Prednisone,2017,NCT01308567,Superiority,1168,5/5/2011,2011,Industry,GU,Chemotherapy,2011
PMID 28754483 CT_Summary_SoE.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28754483,2017.0,INDUSTRY,Yes,GYN,Metastatic,Systemic Therapy,Platinum Sensitive|BRCA Mutated|Relapsed Ovarian Cancer|Following Complete or Partial Response to Platinum Based Chemotherapy,DRUG: Olaparib 300mg tablets|DRUG: Placebo to match olaparib 300mg,2017,NCT01874353,Superiority,327,9/3/2013,2013,Industry,GYN,Targeted Therapy,2013
PMID 28796588 a_Summary_SoE.pdf,2.0,4.0,8.0,12.0,13.0,14.0,1.1666666666666667,21.0,2.0,2.0,6.0,10.0,11.0,12.0,1.0,21.0,0.0,2.0,2.0,2.0,2.0,2.0,0.1666666666666667,28796588,2017.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,Diffuse Large B-Cell Lymphoma,DRUG: Rituximab|DRUG: Obinutuzumab|DRUG: Cyclophosphamide|DRUG: Doxorubicin|DRUG: Vincristine|DRUG: Prednisone,2017,NCT01287741,Superiority,1418,7/26/2011,2011,Industry,Heme,Targeted Therapy,2011
PMID 28809610 a_Summary_SoE.pdf,2.0,5.0,11.0,15.0,18.0,20.0,1.6666666666666667,21.0,2.0,5.0,11.0,15.0,18.0,20.0,1.6666666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28809610,2017.0,INDUSTRY,Yes,GU,Metastatic,Systemic Therapy,Prostate Cancer,DRUG: Cabazitaxel (XRP6258)|DRUG: Prednisone (or Prednisolone),2017,NCT01308580,Other,1200,2011-04,2011,Industry,GU,Chemotherapy,2011
PMID 28854067 a_Summary_SoE.pdf,1.0,2.0,5.0,8.0,9.0,10.0,0.8333333333333334,21.0,1.0,2.0,5.0,8.0,9.0,10.0,0.8333333333333334,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28854067,2017.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Lung Cancer - Non Small Cell Squamous,DRUG: Ipilimumab|DRUG: Placebo|DRUG: Paclitaxel|DRUG: Carboplatin,2017,NCT01285609,Superiority,1289,1/16/2011,2011,Industry,Thor,Immunotherapy,2011
PMID 28885881 a_Summary_SoE.pdf,1.0,3.0,7.0,13.0,20.0,26.0,2.1666666666666665,14.0,1.0,3.0,7.0,13.0,20.0,26.0,2.1666666666666665,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28885881,2017.0,INDUSTRY,Yes,Thor,Non-metastatic,Systemic Therapy,Non-Small Cell Lung Cancer,DRUG: MEDI4736|OTHER: PLACEBO,2017,NCT02125461,Superiority,713,5/7/2014,2014,Industry,Thor,Other,2014
PMID 28891408 a_Summary_SoE.pdf,2.0,2.0,4.0,7.0,10.0,13.0,1.0833333333333333,28.0,2.0,2.0,4.0,7.0,10.0,13.0,1.0833333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28891408,2017.0,INDUSTRY,Yes,Skin,Non-metastatic,Systemic Therapy,Melanoma,DRUG: Dabrafenib|DRUG: Trametinib|DRUG: Placebos,2017,NCT01682083,Superiority,870,1/8/2013,2013,Industry,Skin,Targeted Therapy,2013
PMID 28891423 a_Summary_SoE.pdf,1.0,4.0,9.0,16.0,24.0,31.0,2.5833333333333335,14.0,1.5,4.0,9.0,16.0,24.0,31.0,2.5833333333333335,17.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,28891423,2017.0,INDUSTRY,Yes,Skin,Metastatic,Systemic Therapy,Melanoma,DRUG: Ipilimumab|DRUG: Nivolumab|OTHER: Placebo matching Ipilimumab|OTHER: Placebo matching Nivolumab,2017,NCT02388906,Superiority,906,3/19/2015,2015,Industry,Skin,Immunotherapy,2015
PMID 28902533 a_Summary_SoE.pdf,1.0,3.0,7.0,10.0,12.0,14.0,1.1666666666666667,0.0,1.0,3.0,7.0,10.0,12.0,14.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28902533,2017.0,INDUSTRY,Yes,GU,Non-metastatic,Systemic Therapy,Renal Cell Carcinoma (RCC)|Cancer,DRUG: pazopanib|DRUG: placebo|DRUG: pazopanib|DRUG: placebo,2017,NCT01235962,Superiority,1538,11/30/2010,2010,Industry,GU,Targeted Therapy,2010
PMID 28916367 a_Summary_SoE.pdf,2.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,2.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28916367,2017.0,INDUSTRY,Yes,GYN,Metastatic,Systemic Therapy,Ovarian Cancer|Fallopian Tube Cancer|Peritoneal Cancer,DRUG: Rucaparib|DRUG: Placebo,2017,NCT01968213,Superiority,564,4/7/2014,2014,Industry,GYN,Targeted Therapy,2014
PMID 28916371 a_Summary_SoE.pdf,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28916371,2017.0,INDUSTRY,Yes,GU,Metastatic,Systemic Therapy,Urothelial Carcinoma,DRUG: Ramucirumab|DRUG: Docetaxel|DRUG: Placebo,2017,NCT02426125,Superiority,530,7/13/2015,2015,Industry,GU,Targeted Therapy,2015
PMID 28935843 a_Summary_SoE.pdf,1.0,3.0,8.0,10.0,10.0,10.0,0.8333333333333334,14.0,1.0,3.0,8.0,10.0,10.0,10.0,0.8333333333333334,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28935843,2017.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,"Lymphoma, Large B-Cell, Diffuse",DRUG: CHOP|DRUG: rituximab [MabThera/Rituxan]|DRUG: rituximab [MabThera/Rituxan],2017,NCT01649856,Superiority,572,8/24/2012,2012,Industry,Heme,Targeted Therapy,2012
