filename,NCT Number,pmid,conf_flip,uncertain,mismatch,no_iv,no_ct,plac_iv
PMID 37257422 CT_Summary_SoE.pdf,NCT03419403,37257422,False,False,True,False,True,False
PMID 37379502 a_Summary_SoE.pdf,NCT04248829,37379502,False,False,True,False,False,False
PMID 37478390 a_Summary_SoE.pdf,NCT03053440,37478390,False,False,True,False,False,False
PMID 37748693 CT_Summary_SoE.pdf,NCT02576574,37748693,False,True,False,False,False,False
PMID 37870976 a_Summary_SoE.pdf,NCT04538664,37870976,True,False,False,False,True,False
PMID 37935977 a_Summary_SoE.pdf,NCT01802333,37935977,False,True,False,False,True,False
PMID 38059497 CT_Summary_SoE.pdf,NCT03750786,38059497,True,False,False,False,False,False
PMID 38060199 CT_Summary_SoE.pdf,NCT04177108,38060199,False,False,True,False,True,True
PMID 38252907 a_Summary_SoE.pdf,NCT02864251,38252907,False,True,False,False,False,False
PMID 38483412 a_Summary_SoE.pdf,NCT03274687,38483412,True,False,False,False,True,False
PMID 38648575 a_Summary_SoE.pdf,NCT03088813,38648575,False,False,True,False,False,False
